sim,storage,transport_cost,coating_cost,decoating_time,peelcoating_price,peelcoating_time,A,B,C,winner
5373,4.025968526365477,83.4126115079298,11.987592727502689,6.858034081444167,16.091628147581126,16.892340002499413,31.92521087021018,121.3767751676882,145.70450123672563,A
5374,7.037667519520898,63.591884429168516,11.966088343691181,15.307994253149994,14.369598399696201,16.139774955410864,35.334777872070106,109.48316358051997,124.59691200906485,A
5375,5.966351416217804,67.45011759789527,13.832642284606447,6.2370906146961635,11.441712481022826,19.722237849994695,28.7479314574834,105.14757617970538,125.13223050746461,A
5376,7.272342799221311,86.76945220114338,12.111753694950155,11.55549015983052,12.62698746783888,20.816193393773393,34.20810983690815,131.8860762368835,157.24193490244022,A
5377,6.9592879595584645,59.585776136855785,8.718252930984796,17.18533252490146,16.9234333807689,26.1107895712524,45.78751477820481,115.81222285439829,116.51309344576126,A
5378,4.5199891963526655,121.63864634086455,13.769587892409497,9.501082427564487,16.00358755333361,26.444027903854433,39.96699444094622,168.38562457633978,207.08160155176864,A
5379,7.92873551248022,87.23721999851362,12.360305563427715,8.948314685615408,15.537437919982171,18.615777566880276,33.91349942164596,133.0438226888799,157.11041419742196,A
5380,5.918794524355482,40.468843640664275,7.050979192684441,9.121460483669416,18.432161359538465,17.583876422387654,36.23571929690984,85.58275472410735,79.75401283381595,A
5381,9.160559681609879,61.95501935259226,8.709699215644061,13.658370056035842,15.183194764420394,21.999002685708263,38.9547765922498,114.65063546725688,119.90836796349956,A
5382,6.390192490386577,105.4068943173699,16.654400277215736,10.362427930045785,17.23241253745288,19.37672113831621,37.05851191636087,152.05069496931065,188.06321953035436,A
5383,3.8940447362038295,96.41845654688294,7.635965417593162,9.937660998167342,11.84856283416768,21.259197759562735,32.6464686726544,134.9059923238431,162.78280230623298,A
5384,2.3400351388681964,42.85399056789802,9.545042900931598,8.821007790249215,16.285470951900198,18.49306801163673,34.49485481982416,80.85889809602448,82.04673575181297,A
5385,3.531289816164051,100.88904393436484,8.78812519969158,8.365674540353014,13.127902582539472,24.573742004828805,35.087513612660686,141.2734922712716,169.2300972776382,A
5386,5.94143549137728,94.34111179834093,6.679960557906062,16.280037426050157,16.707544065806218,24.180050327647372,43.68093590160457,146.9342009370114,164.98642203082818,A
5387,5.151528695763339,60.18933740293542,13.550997231901205,11.670893742762747,14.129156033843445,24.75103611368398,38.410442604807926,106.32707305138835,116.76712786057618,A
5388,6.782541353954102,94.8258580868698,12.560510721918114,12.30438109231115,13.922001121523154,23.44079689772114,37.75211978154468,142.75178989934562,169.78475993438434,A
5389,4.83439040267794,151.21052194860675,13.287021887133507,7.898462564036566,14.947433114138887,19.113422432810058,32.95535644536997,191.41746399799362,250.20283692207929,A
5390,5.254552676587254,125.30307795196924,10.032932445153083,14.26240210713005,12.51072586524245,23.953895919687188,37.98825788312061,171.17316484997073,212.75037012111423,A
5391,7.065644797761674,140.34578768208934,10.045489306134403,7.886692514372996,13.600303950964475,24.289731591912588,35.05125335515486,185.9955082338867,232.88761063661207,A
5392,5.762244692048964,75.7222336710496,15.60856612441172,10.020262123787377,15.252962339054134,24.08355834969374,37.988842654708215,122.35444336383125,141.63433607222666,A
5393,6.7574266493214665,62.58324614222838,15.757367090899832,8.542697443892688,14.743880777234597,19.411945262025462,33.3803092478467,106.09969536405728,122.08479458282567,A
5394,4.677713772323892,81.26478634120708,15.518874476977642,14.964517102456565,16.255909532205557,18.521597963589734,38.57998624290309,126.861343242596,152.0701124960832,A
5395,4.012353195769759,77.67735342273338,13.983478275994525,14.012695841564243,13.935876626414549,18.10175799662226,35.34551251853888,119.0413957349269,143.85365883357383,A
5396,6.095785853606637,81.03835616656536,11.440563174939381,11.464285956466217,16.939444950021077,24.313792281410436,40.79149710860551,130.97353205558085,146.73674058270487,A
5397,5.132213719103599,92.47680565922741,10.753551574159198,13.16742730657009,17.279785058849512,20.74588612218714,39.888660678021,140.0637869159038,163.37925865315063,A
5398,5.0375780386483875,81.82100681474486,17.132066004089573,6.988340096032878,16.05438319284137,13.784953984447034,29.903245913161314,119.28061978587876,149.5600476622105,A
5399,5.285121786050679,90.73235731751036,9.876356336370609,12.293967098293873,13.548234822522899,20.817845811051733,35.62277676208664,134.28281675867302,159.45599216421607,A
5400,1.5777660068669412,86.8813112545149,10.94528105683153,11.067093638192818,13.276345263720112,15.311700663207901,30.862208131320592,120.1101683961359,150.2230763709327,A
5401,2.3808356263852777,130.04958377266556,16.04710944527154,15.89061287918804,12.720022273865165,22.003363172797076,37.98267297518858,171.60351018743205,224.09606265011385,A
5402,5.970170018231179,76.2642357245173,14.755745968245161,9.404895791010123,15.089431763925049,27.57733106655921,39.744249668971264,124.96374042083534,141.3922001005924,A
5403,4.90570189453958,123.18390140486616,9.203224867253892,8.006811649254823,15.58336726834375,19.78243235407632,34.10952993723118,164.6519841839067,204.22265330192926,A
5404,4.800287214977163,70.35503855634403,14.045911615657989,15.446813166656622,15.926803597822788,14.94470540777386,36.187815980776435,113.74328535958621,134.67663210958895,A
5405,5.034270443924864,75.08462997718463,8.22057926266044,7.2274141676228645,14.826697179918437,14.7750496393373,29.495006384558543,112.13104202763047,130.70007078411084,A
5406,3.369770738827743,69.0316040498349,13.097572437162935,19.699043501313273,13.636786667369671,17.84365876325832,38.66525484375073,112.75151500182724,133.1474449182852,A
5407,6.218177230024315,99.76765784952654,17.121945149868424,13.045878322964656,14.036680983009028,17.122693429156133,34.14906215108955,143.24398584565256,181.68886136949234,A
5408,3.808844586490534,36.445715352063715,13.724225233414934,13.51515595508052,13.476659478557073,23.75005744654906,38.320135079643464,80.47911731144298,81.21174681805472,A
5409,9.099336956260334,83.01516286544532,16.751020422982954,9.928908165781927,14.090557254365384,22.14861321470263,35.47557150802176,132.13973980785758,156.99237378793256,A
5410,4.9898086935812325,59.58511521433671,14.372840559570225,11.283549624049952,13.504116870105898,14.900492021981595,30.960144634126927,98.02997288883549,116.26268849068981,A
5411,5.613410978343379,124.40231707071563,15.279304449072992,10.265187969307123,13.858028787369403,18.977889181917902,33.35341355485275,166.17584709308346,214.33964967969456,A
5412,4.145600540530363,44.498373054062775,7.358315844894689,9.35146863039827,14.763880454203761,16.64053463142909,32.091882628755336,82.80865649361365,84.48578838678473,A
5413,7.466788381078356,80.15820292332518,8.91558639781028,13.587835206305083,14.45646598258158,24.39768503407504,39.780146142834994,131.1385316377777,145.6782359680798,A
5414,7.552582042155645,104.56241356594805,15.865692103899033,12.777038747513254,14.994377065117574,15.95850453214014,34.15140591821984,150.04269254740134,188.77992032665225,A
5415,3.29914751749069,119.92444045162117,6.594898703864559,15.504699271503881,12.685882324845851,21.33768455950272,37.247471545516916,162.12063327337412,200.11717307978958,A
5416,3.983438336353604,105.76682511511774,7.003416969845038,13.282374873525194,12.881755352476755,21.871462755679893,36.317647105280145,148.0596297249283,178.4920095612254,A
5417,0.4243228120740925,60.740021053508116,13.329896346349418,11.411122824276877,15.015597953397668,17.946289412399544,34.58720611118195,95.96371138280121,112.47166595487028,A
5418,7.123835777262558,99.1827716929315,16.051384783462257,8.801191611575067,13.100840248686769,27.319200606514972,37.18110172741346,147.0496270862388,177.81683917450542,A
5419,1.778506395061299,85.09935810850823,12.76603605893174,16.724431115519923,16.178107996166066,27.72781243548332,45.81293703016823,133.5800547312684,153.34320036043533,A
5420,5.375966133399953,89.4476073829947,10.850793978351673,7.645181671115338,14.209117633184462,13.41149604587506,28.24690277784473,125.75845936093937,155.49495896698724,A
5421,7.048976629294524,53.570284491520155,8.415551697324558,12.59061737845542,13.114879130898968,21.58923922179454,35.901450197732274,100.04519963319422,104.21369998286958,A
5422,6.695033708607036,60.02746092511454,14.785988615273126,8.079025718474231,17.205289548107807,16.37854961637614,33.51033977134139,103.58035125936648,116.90823085720145,A
5423,4.384774203389549,79.3640663729042,15.475939696409766,11.678127435686559,15.62604367947048,27.742594503786922,41.9065249724528,127.84775265044132,146.6922317496133,A
5424,5.068739977744655,120.44725222903843,14.590350890933145,9.21198784421859,15.900704987418429,27.590940582643622,40.435990605326566,168.486352800982,206.4712944417145,A
5425,6.192223696905454,106.3947766242546,8.459524302574696,16.947861361760303,14.541860565175261,12.92097858036806,34.45442052659417,150.13753269620696,185.54248717703558,A
5426,6.109374459594384,51.05763161775896,12.816883899460729,17.06460461792253,13.386970110132312,20.208650718183215,38.23580700086947,98.45750030802,106.88910886430858,A
5427,3.998860151771555,67.50328267350594,13.821472925231511,11.682120474457996,17.712075916751555,24.539818570622778,41.86003528013874,115.361608181302,126.8633374035673,A
5428,4.031590861242411,69.42400192849763,7.419058999750984,13.998765571908283,13.176492823716284,13.468096951909859,31.48773450626171,106.95912272662297,124.91916313501203,A
5429,3.982946635958754,57.28040234688184,9.219464014261453,6.542238377654925,14.314120208926035,25.32193995300434,35.55690576269888,98.81172806351886,103.48450642231293,A
5430,3.2851635023844503,71.01615833661674,6.716064298190362,10.15448328259604,16.43864012836918,17.70679317095511,35.01282443073661,110.95672802093003,123.29512082723062,A
5431,3.745264873733712,84.4387936595543,12.727188260411516,18.525608763677923,15.186642321993649,29.397945859484913,47.13567873743554,137.19236970759042,155.48104946592863,A
5432,3.503680546389109,81.66707235792323,8.139154844935513,18.074103435476406,15.129460161631847,17.196607295802902,38.64326731581805,125.56586049332495,146.19284621852705,A
5433,6.555346167034051,87.60391106223354,7.300751492024938,17.479208315835972,13.471776036295456,14.483919172813835,34.78052769539532,132.21745800817993,156.91476979629994,A
5434,3.416813286430937,59.934275466434244,15.15285896338765,13.461810473828082,15.127616498069433,14.591729364871703,33.82997639053596,98.88947178661661,117.44562576535533,A
5435,5.429209492603799,64.2077901819536,7.936277025621702,6.377718415079517,13.242558519371187,24.613532609984954,33.90339253608083,106.25499695694013,113.92898406787558,A
5436,2.34857911525999,62.17050466899575,14.782942825550464,10.332460264491475,18.83479002778439,22.520635105554753,40.73685360781521,106.43022694970094,117.27558578729838,A
5437,5.089446958065432,82.34038788552103,10.611753992369431,10.690856756253368,17.35042371044637,22.9272415926713,39.762489276396145,129.7370475990153,146.33902061621865,A
5438,3.493229556382275,96.31966975503528,14.262382099213495,9.275712356280591,13.944313936710273,16.948520941436385,31.427136135188256,132.98665022479693,168.41892452566907,A
5439,5.118180509466227,85.97920650556664,10.160034100971195,10.253270403390719,16.723364961310647,24.76261503046486,40.06728858388103,133.72376585364702,151.08253797104786,A
5440,4.32853500059128,92.88312661091953,6.107703970711407,14.633995520664687,15.575664286223546,14.123804145433088,34.74753073028873,134.12345984209517,159.51692590145845,A
5441,4.1446638554591635,55.29349645910793,13.271740356545509,11.245634197417823,14.53270575669482,19.88835844717933,35.28870085309292,96.7991930953896,107.85373836561178,A
5442,6.974740451201495,60.60259581603104,15.273159277960987,17.199028700346066,14.464296784411431,14.376922530436657,35.51493093826658,106.57963743109987,124.61781258677308,A
5443,3.1091960972118637,83.78259227647558,14.101703188048027,18.262017945124278,16.200195549561897,14.615877684676057,38.118792636095456,126.56517905838884,155.05946633005613,A
5444,7.704217985590315,134.23728328188935,9.221215160080426,9.518493937377098,11.777873806458814,14.503651434337446,27.792637387601847,173.58624764787666,224.62702069342282,A
5445,4.542852092229593,128.40334243006367,8.449346911580415,12.590960866135644,16.252833404830497,27.86356617321104,43.22251809772828,178.44013866613633,213.99118655966262,A
5446,7.115930318803518,82.28828626305202,14.817302976364921,17.567728439169905,13.447020577204267,22.230699364700698,39.97930577978467,132.94148752104195,157.07748164919306,A
5447,6.341030590088812,57.250804075577605,8.162997548155884,8.89530701153906,11.725148560250199,19.86535775978967,30.898925074469354,97.66127503518018,106.31043892597047,A
5448,6.927582276838592,97.56886307823306,10.690717071734293,15.144469212363031,13.584350380796376,15.642144548996967,34.10875955503637,142.06899604852734,174.0679067741645,A
5449,8.050586333279409,134.74480278726327,10.764914295982555,7.260897938207798,13.314821977365684,16.36922500902564,29.06823727552131,175.88891956270368,225.77330343562872,A
5450,5.1107132293288196,114.46526846958287,7.753933331828938,10.673951962246464,14.542776943894962,25.9326839770849,38.9472009034492,161.0785392170253,191.67851724036305,A
5451,7.6108796563010666,52.28985004493061,15.850429969173828,9.312755283323362,15.964014376634836,14.953985791145318,32.14184175961395,95.84801128899616,108.10458821508638,A
5452,4.4915220738056085,84.40378010277927,6.89747553458545,11.745583732921173,14.509466027114891,20.92424499897264,36.289351848377436,127.4304150618651,145.82505691784075,A
5453,6.781528038127561,91.15193633630794,14.096312169161152,8.840084480535523,14.128367517765845,19.996451186555756,33.35272462916003,134.67695302265932,163.49913436544097,A
5454,4.165824381738253,70.84224924991548,10.531768621916175,11.762190288180607,15.262886576710372,17.860460135223942,35.011320192313406,112.10230601483626,128.80242707064806,A
5455,4.603563450320469,99.25670947432428,16.16793077920711,11.871617663410088,14.284244954227594,24.98081610626581,38.85253413401152,145.01458878381652,177.57097021662074,A
5456,4.818257047428143,88.86741057311482,14.484089514484292,13.269236632291815,14.34115377270254,13.063999563718212,31.89664457004256,127.9914407142996,161.44962017644588,A
5457,6.596091766649039,104.9186670955971,8.96809785936253,9.939246250954927,13.507719004458592,24.8252171248908,36.68402792168908,151.49683266725972,179.56835443671048,A
5458,1.8851330171446432,117.74971613885197,10.644632966103146,17.625187608293036,14.913002412904456,20.470468609913503,40.31010655837548,160.88752222294443,200.9044652637211,A
5459,7.242262914670329,139.63927592297762,8.15703165674298,6.5901644566990285,13.342425390910769,19.243135027526275,30.56462504706097,181.06729534204408,229.25165142701243,A
5460,5.219940812416884,90.93530512901697,7.602627581388898,11.391008095600885,14.36793502847146,17.580322462006258,33.68215540020955,132.44737174785186,156.81953148439848,A
5461,2.354101566603721,70.75699225065377,12.513628163461053,17.076740133255743,15.314539254980131,23.305890309584125,42.236292883540045,116.5244374840994,132.38771152821593,A
5462,6.125785902375385,83.92993015739144,10.982088034798334,13.780677707694228,14.308692095250322,19.78041654554056,36.68275493074018,129.8013639416947,152.18988764505704,A
5463,6.65174446382026,74.68158741133148,11.32893370411114,14.142432360849437,15.24353254897899,26.747321499562965,42.503368455920594,127.16257256298246,139.4313475254949,A
5464,4.4687279646640405,97.50641854821822,9.22171973116102,13.25922863264495,12.9891301996545,23.74293222221158,37.65723743622552,141.8667479314398,168.78956127324903,A
5465,9.115616762381842,68.05376803798855,9.44710454691531,13.596272349912606,14.032440505308472,23.08351966101825,38.485635179262374,120.21282836082369,129.70755493288837,A
5466,3.982355216940678,97.60143619615728,17.487297314620978,13.48089888379739,12.962856656081224,20.7211027261926,35.76419106274122,139.33916008430953,176.85907274832917,A
5467,5.397142749924569,95.21574101622008,14.94999208371316,15.848732417959166,14.444932176193753,22.941870246008865,40.30533395217243,143.61678909327938,173.73656796994064,A
5468,3.776003330991233,77.8704508995633,13.49900438528141,11.581900959204823,13.695022023116469,18.154820278035473,33.51950284794333,117.05395874399348,141.80195137175411,A
5469,6.449381262974606,55.28046125636173,15.814342545497492,8.061935291244602,14.258603538776825,24.402807851420672,35.90176563388701,100.85629878471065,110.55903922051111,A
5470,4.061409329230189,69.43285795730512,12.93024406394547,11.72720812128592,16.49473802947255,25.229380341387248,41.13246367125466,116.65743562240506,128.95907907665728,A
5471,4.397614666301686,73.08694231088293,16.87033405431747,11.339819976230409,13.750301303354966,14.687559012738216,31.10188729600071,110.78525160633617,138.45824217109717,A
