sim,storage,transport_cost,coating_cost,decoating_time,max_uses,peelcoating_price,A,B,C,D,E,winner
69,5.045749565250723,82.14188130641504,6.618977836313113,2.8581983188004383,120,15.260988426817331,1338.6503039197137,1072.8484607274238,3428.650303919713,1504.42336279969,806.6554085752907,E
70,2.520191781747261,104.93805552944204,11.377653704258623,5.242453673745837,120,2.2002372746888166,1234.0157048177039,1412.9772407744608,3324.0157048177043,1679.5701055290906,977.3307514452388,E
71,8.405228108841417,71.68925635840637,8.567710923615136,10.200305395091657,120,2.2540154488131505,1065.955667450035,1151.2513011140873,3155.955667450035,1441.1701223411146,728.6544103570527,E
72,5.5939142779175155,39.77536373791187,12.503459546315145,9.191785450017026,120,2.2674958181510374,810.4592316996798,965.9538839790523,2900.4592316996795,1236.824239997588,488.97076486378245,E
73,4.656338266647656,108.04327626435042,8.80326382529273,7.093794343232925,120,2.9268649652625074,1304.615705281278,1406.6817351202662,3394.615705281278,1691.138286542534,1000.870236623251,E
74,6.747184675359154,96.89864729513344,5.413472152838972,8.057979350077357,120,4.453568097348865,1273.343844355255,1249.0555271583678,3363.343844355255,1601.4661725539618,917.5305404176445,E
75,5.277794817455777,75.72411245231385,6.956075743113902,9.228471219461671,120,2.5539461286842453,1087.4995815723332,1129.9437766578803,3177.499581572333,1461.7057920144657,758.5493349725244,E
76,5.065317922843204,78.7175199178522,8.390919919376469,7.830271711571541,120,2.226198722263249,1079.6881080474373,1166.6795567165436,3169.6881080474377,1487.9733857971783,780.9749913279746,E
77,6.467684286428184,60.97340354772944,11.308042705001782,5.524240905806602,120,2.1142913617206216,907.1893055344872,1053.569390434032,2997.1893055344876,1377.9907124987662,648.0584583602865,E
78,4.391985729755574,74.04168089872144,6.507961422012421,12.152667006642096,120,4.392557777309891,1165.6913513298275,1151.9922994767294,3255.6913513298277,1448.1320859106847,745.8272925681165,E
79,2.8484078083333633,80.41902540893918,10.465415351608168,10.004277706289427,120,1.8093873810436487,1116.9702288027613,1265.0291691530142,3206.9702288027615,1507.4323098589703,793.4764883570829,E
80,5.122290965554257,115.46733731393317,13.69174489893345,7.036967759102337,120,2.7240925306733725,1354.575003208823,1584.399163032515,3444.575003208823,1761.8454784722444,1056.6052983270247,E
81,5.99781446102223,71.25037253020346,8.78733674452172,10.52751987960158,120,4.492239930375402,1121.3347392613118,1157.8548421984763,3211.334739261312,1438.4482538130146,725.080662858677,E
82,5.390810469782448,91.7573232742163,9.595299131286394,7.458270570757363,120,4.998525592641515,1238.108603514064,1297.2491608972032,3328.1086035140643,1582.5183809460332,878.8116601585498,E
83,5.828693518987626,95.79197210847545,8.480918695261801,5.815024550781048,120,2.115251894051503,1172.9292791050552,1277.549261415459,3262.9292791050552,1605.9051197384458,909.1228408353222,E
84,7.627247270584927,84.86107183033866,9.64932193469748,10.264143949701227,120,2.5521970859274012,1172.8308900245388,1286.807690267775,3262.8308900245393,1535.8643805207132,827.3518567670616,E
85,8.861393578918316,84.87275345010772,6.171082820265417,13.849394110801734,120,2.440432543065849,1227.7447822422457,1260.9349539826162,3317.7447822422455,1522.3306300079466,827.5840954358374,E
86,3.9097171269653224,93.58484819258699,8.584870893191468,9.773886746812176,120,2.385537333450337,1225.9796153720215,1324.9522569502487,3315.9796153720217,1590.6821995134883,892.3445314202186,E
87,5.5715946041121125,54.41056220617192,10.564839371080918,11.753583029453774,120,2.0514237794028176,956.0236369658869,1081.1535328207901,3046.023636965887,1329.6813432199392,598.7321377889589,E
88,3.427799735724598,82.08197093869201,10.442360773969611,6.310309582214259,120,2.1645645379223657,1078.9309795472852,1219.1595674164382,3168.930979547285,1518.913163547882,806.0164773217203,E
89,8.134168691326373,73.10762001231157,5.47601683080056,11.797481665510421,120,2.232222061187361,1101.593409102515,1114.2751985824655,3191.593409102515,1438.488948887775,739.2603729858515,E
90,5.874057094655342,110.2461034739118,9.93057978617997,6.075219484738333,120,2.53259942772454,1295.5200401413208,1435.756146349685,3385.5200401413213,1711.0869037304756,1017.5341421201183,E
91,7.84501821979975,50.5333512178392,7.151259085244876,10.173130793043825,120,2.373926181032333,909.663793239904,942.2197963543845,2999.663793239904,1289.9217913137318,569.9194722064267,E
92,4.426451341236315,91.7224559588415,13.272302859560373,5.53835526375479,120,2.3908534279124263,1144.4313109478373,1354.377939276519,3234.4313109478376,1596.7531273394825,878.4371444578625,E
93,7.39211323262056,70.78759475300225,8.422284667754194,8.858650121635675,120,2.4265591730979708,1041.7490460174868,1118.7371539539877,3131.7490460174868,1434.1441300214326,721.7732239169646,E
94,5.52012384079097,90.93759925254923,10.634952459876274,7.1525720634398615,120,4.663395836056446,1219.0415369871043,1310.5620953981925,3309.0415369871043,1581.072709693473,872.6788839067119,E
95,10.196700452850461,113.22026767348675,9.127126915721767,5.5543747853521195,120,3.4779651475401736,1332.688093492067,1433.1831766835403,3422.6880934920673,1729.3673613090332,1040.346933385469,E
96,7.111766798122733,102.28012319915177,12.572839406487516,4.766271632605813,120,2.437595627713085,1212.6969753521005,1412.6529184420506,3302.6969753521007,1667.189585641539,957.9343341652933,E
97,7.682032931648935,53.405225632901946,12.21941279380897,9.217105796988855,120,2.5217750315163814,919.4357239891572,1072.2329495088557,3009.435723989157,1329.8990697520708,591.4394304809423,E
98,5.974895171896035,103.47119196598035,6.3189630567349395,11.422381378976581,120,2.837131009440413,1337.5833690630045,1378.7507321725584,3427.5833690630043,1650.0873419174982,966.7341227728092,E
99,1.7590448428606313,105.20694933608112,8.797100897164473,6.781112476600931,120,2.0981965838404975,1258.1127757259178,1377.791691247754,3348.112775725918,1670.912198947096,979.258258088131,E
100,4.497396719203297,89.45560231489924,13.379512378592725,6.1994603909232175,120,1.8780642535350776,1125.7089643793893,1348.8354211169471,3215.7089643793897,1581.6145286972353,861.4440560397759,E
101,4.5089036373514215,83.51780541087798,8.080755211354443,5.408181107697389,120,2.088646960902941,1073.5703525114159,1160.0193045804103,3163.570352511416,1519.5999331448752,816.911927726587,E
102,7.001733327556554,69.98789889622415,5.610435597716336,2.3705244937331136,120,1.854051842701016,918.1553934705585,940.7995277630941,3008.155393470559,1417.304279592674,715.7297573460041,E
