sim,storage,transport_cost,coating_cost,decoating_time,peelcoating_time,A,B,C,winner
142,6.495729775973608,115.81749428250234,12.36682465573796,6.723221859205406,14.433342418003278,16.44187618480579,22.719930632128925,25.860071121861253,A
143,3.2175262635803996,93.31883867938402,12.180554126688111,8.77418825769432,12.675941071235924,16.63758621928683,21.54484262302456,25.189802179283813,A
144,4.736345113637772,76.65221008792864,11.917918285269453,12.512986268562571,16.858649790219978,21.91859070585503,26.106427093774297,26.245642143254372,A
145,9.329242682989971,110.14116456462499,13.866581561559656,13.856864077151913,27.04000234028862,29.60207761162702,35.80882904108252,31.83154042282397,A
146,1.957699506186675,90.42045426656026,16.384743020617787,12.861208547046406,19.479734066584477,23.898128409087256,28.56597858537927,31.83830109728341,A
147,8.187789922263475,77.69401320091957,14.235098245738616,11.422885478109226,15.631035669054466,20.37344743144246,24.8722323356582,28.086795717326908,A
148,0.18461671788487166,63.907076202297404,7.28054679100374,10.446301716684399,15.320445614374787,19.51533155403946,22.724531617995694,19.047009486526555,C
149,2.0441423962267535,116.26544708487341,13.288434225026934,16.08976801814175,28.28780411254028,31.92254808712135,37.88913112108202,32.83706188829828,A
150,3.8381279368127688,68.59950300598881,14.358097002499338,14.38002045703367,15.850168356359127,22.49095920892853,26.20879395448893,29.28164642947825,A
151,2.384989584765113,82.20136367509473,14.273207249124269,9.36363620233715,23.55032987841168,24.280144053832554,28.569086456444673,26.799983138886063,A
152,5.680789618124407,63.9951958013131,13.75573625297947,6.758598122847108,18.134266980400646,18.93274340216517,22.558562413590153,23.34514750088224,A
153,6.694031676643538,112.56440009065963,15.651719933859896,14.07541125793227,28.373852075658768,30.637008889060688,36.767281269341936,33.81235902977973,A
154,4.693636691367287,80.97930134650571,12.121412065543945,9.24773215439901,20.424116319252022,22.118732315767353,26.51972013494519,24.59469627069958,A
155,5.565638153583402,70.8861430582042,10.195009941841843,10.198051268047392,28.96238141207024,28.444455120078416,32.40618513450738,22.588453424251256,C
156,5.230903667143951,89.55444725446911,9.99167724456916,9.085348636656374,20.25802957313274,21.89975213985941,26.769792277618663,23.02670506311579,A
157,4.470556099651007,91.265804476695,9.826973467100041,17.935465276536558,26.554845258964118,31.997707023667115,36.89628895497569,28.85241345885909,C
158,1.5631829092507656,88.38667851868938,14.348337769498386,14.09399891213171,20.428968091156577,25.352811335525523,29.8893839796538,30.4514970786171,A
159,1.0895412599854866,63.371546374675006,8.148404919946081,11.292309669605194,16.283040922526368,20.721067061421042,23.971359974653705,20.483954407449446,C
160,3.876107986863033,77.69997615408056,12.825335077976387,9.276614676196115,13.88197350571008,17.77655878793746,21.95226569465622,25.031048473006322,A
161,6.059246751729931,87.85953866296296,13.077682388756358,8.434645553492896,14.603285955083596,17.69612100571766,22.543541445245555,25.59320716172701,A
162,4.91627299856076,65.41615484004413,7.91804399858545,7.841649155286797,25.134106949551597,24.3213374032256,27.96086562011986,18.29783536504133,C
163,4.032200389661698,85.57310199153028,11.653872015015121,12.402596368374663,20.685011676833554,24.395905363472142,28.976975492273283,26.541862262779418,A
164,3.2846252782827428,136.79229344664643,9.824748761667381,10.36031396242741,19.985012429389542,22.567717594544632,29.653679162748162,27.15527800903161,A
165,5.092156595516831,26.340667815196056,14.622404127039585,12.36433269295271,20.154568962173723,24.01676777008429,25.715712905507853,25.095450504923605,A
166,8.069095363654807,78.82718065549666,11.56697502467688,9.319292343969735,20.21276577708234,22.02553874736805,26.572079932416994,24.095329904668358,A
167,1.6200944493023983,120.61028959467939,7.338361990635832,9.191947074364396,18.07937888025444,20.51838396974589,26.670405533177536,22.593103148944834,A
168,8.101594004871039,62.62824388854382,14.780265028654352,9.38252995567545,16.91722623384029,19.870670793010493,23.60970253780301,26.13748299098899,A
169,8.408963113584337,129.5716605629796,9.280050004523627,14.663543797889414,25.4147334650897,29.05635150865274,36.165606770320544,29.19406856768592,A
170,7.125403694165854,53.01302408671146,11.12504457928962,10.40390524134339,21.893539082562476,23.869129549270575,27.05418603066859,22.39322839806353,C
